	country	artist	song	language	final-rank	points
81	 Germany	Conny Froboess	"Zwei kleine Italiener"	German	6	9
82	 Netherlands	De Spelbrekers	"Katinka"	Dutch	13	0
83	 France	Isabelle Aubret	"Un premier amour"	French	1	26
84	 Norway	Inger Jacobsen	"Kom sol, kom regn"	Norwegian	10	2
85	  Switzerland	Jean Philippe (2)	"Le retour"	French	10	2
86	 Yugoslavia	Lola Novaković	"Ne pali svetlo u sumrak" (Не пали светло у сумрак)	Serbian	4	10
87	 United Kingdom	Ronnie Carroll	"Ring-a-Ding Girl"	English	4	10
88	 Luxembourg	Camillo Felgen (2)	"Petit bonhomme"	French	3	11
89	 Italy	Claudio Villa	"Addio, addio"	Italian	9	3
90	 Monaco	François Deguelt (2)	"Dis rien"	French	2	13
8th Eurovision Song Contest 1963, London, United Kingdom						
91	 United Kingdom	Ronnie Carroll (2)	"Say Wonderful Things"	English	4	28
92	 Netherlands	Annie Palmen	"Een speeldoos"	Dutch	13	0
93	 Germany	Heidi Brühl	"Marcel"	German	9	5
94	 Austria	Carmela Corren	"Vielleicht geschieht ein Wunder"	German/English	7	16
95	 Norway	Anita Thallaug	"Solhverv"	Norwegian	13	0
96	 Italy	Emilio Pericoli	"Uno per tutte"	Italian	3	37
97	 Finland	Laila Halme	"Muistojeni laulu"	Finnish	13	0
98	 Denmark	Grethe & Jørgen Ingmann	"Dansevise"	Danish	1	42
99	 Yugoslavia	Vice Vukov	"Brodovi"	Croatian	11	3
100	  Switzerland	Esther Ofarim	"T'en va pas"	French	2	40
101	 France	Alain Barrière	"Elle était si jolie"	French	5	25
102	 Spain	José Guardiola	"Algo prodigioso"	Spanish	12	2
103	 Sweden	Monica Zetterlund	"En gång i Stockholm"	Swedish	13	0
104	 Belgium	Jacques Raymond	"Waarom?"	Dutch	10	4
105	 Monaco	Françoise Hardy	"L'amour s'en va"	French	5	25
106	 Luxembourg	Nana Mouskouri	"À force de prier"	French	8	13
