	country	artist	song	language	final-rank	points
360	 Greece	Tania Tsanaklidou	"Charlie Chaplin" (Τσάρλυ Τσάπλιν)	Greek	8	66
361	 Denmark	Mabel	"Boom boom"	Danish	16	13
362	 Luxembourg	Baccara	"Parlez-vous français?"	French	7	73
363	 Israel	Izhar Cohen & Alphabeta	"A-ba-ni-bi" (א-ב-ני-בי)	Hebrew	1	157
364	 Austria	Springtime	"Mrs. Caroline Robinson"	German	15	14
				(title English)		
365	 Sweden	Björn Skifs	"Det blir alltid värre framåt natten"	Swedish	14	26
24th Eurovision Song Contest 1979, Jerusalem, Israel						
366	 Portugal	Manuela Bravo	"Sobe, sobe, balão sobe"	Portuguese	9	64
367	 Italy	Matia Bazar	"Raggio di luna"	Italian	15	27
368	 Denmark	Tommy Seebach	"Disco tango"	Danish	6	76
369	 Ireland	Cathal Dunne	"Happy Man"	English	5	80
370	 Finland	Katri Helena	"Katson sineen taivaan"	Finnish	14	38
371	 Monaco	Laurent Vaguener	"Notre vie c'est la musique"	French	16	12
372	 Greece	Elpida	"Sokrati" (Σωκράτη)	Greek	8	69
373	  Switzerland	Peter, Sue & Marc (3) & Pfuri, Gorps & Kniri	"Trödler und Co."	German	10	60
374	 Germany	Dschinghis Khan	"Dschinghis Khan"	German	4	86
375	 Israel	Milk and Honey	"Hallelujah" (הללויה)	Hebrew	1	125
376	 France	Anne-Marie David (2)	"Je suis l'enfant soleil"	French	3	106
377	 Belgium	Micha Marah	"Hey nana"	Dutch	18	5
378	 Luxembourg	Jeane Manson	"J'ai déjà vu ça dans tes yeux"	French	13	44
379	 Netherlands	Xandra (Sandra Reemer) (3)	"Colorado"	Dutch	12	51
380	 Sweden	Ted Gärdestad	"Satellit"	Swedish	17	8
381	 Norway	Anita Skorgan (2)	"Oliver"	Norwegian	11	57
382	 United Kingdom	Black Lace	"Mary Ann"	English	7	73
383	 Austria	Christina Simon	"Heute in Jerusalem"	German	18	5
384	 Spain	Betty Missiego	"Su canción"	Spanish	2	116
25th Eurovision Song Contest 1980, The Hague, Netherlands						
385	 Austria	Blue Danube	"Du bist Musik"	German	8	64
386	 Turkey	Ajda Pekkan	"Pet'r Oil"	Turkish	15	23
387	 Greece	Anna Vissi & Epikouri	"Autostop" (Ωτοστόπ)	Greek	13	30
388	 Luxembourg	Sophie & Magaly	"Papa pingouin"	French	9	56
389	 Morocco	Samira Said	"Bitaqat hub" (بطاقة حب)	Arabic	18	7
390	 Italy	Alan Sorrenti	"Non so che darei"	Italian	6	87
391	 Denmark	Bamses Venner	"Tænker altid på dig"	Danish	14	25
392	 Sweden	Tomas Ledin	"Just nu!"	Swedish	10	47
393	  Switzerland	Paola del Medico (2)	"Cinéma"	French	4	104
394	 Finland	Vesa-Matti Loiri	"Huilumies"	Finnish	19	6
395	 Norway	Sverre Kjelsberg & Mattis Hætta	"Sámiid ædnan"	Norwegian	16	15
				(title Sami)		
396	 Germany	Katja Ebstein (3)	"Theater"	German	2	128
397	 United Kingdom	Prima Donna	"Love Enough for Two"	English	3	106
398	 Portugal	José Cid	"Um grande, grande amor"	Portuguese	7	71
				(It./Fr./Germ./Engl.)		
399	 Netherlands	Maggie MacNeal (2)	"Amsterdam"	Dutch	5	93
400	 France	Profil	"Hé, hé, m'sieurs dames"	French	11	45
401	 Ireland	Johnny Logan	"What's Another Year"	English	1	143
402	 Spain	Trigo Limpio	"Quédate esta noche"	Spanish	12	38
403	 Belgium	Telex	"Euro-Vision"	French	17	14
26th Eurovision Song Contest 1981, Dublin, Ireland						
404	 Austria	Marty Brem	"Wenn du da bist"	German	17	20
405	 Turkey	Modern Folk Üçlüsü & Ayşegül	"Dönme dolap"	Turkish	18	9
406	 Germany	Lena Valaitis	"Johnny Blue"	German	2	132
407	 Luxembourg	Jean-Claude Pascal (2)	"C'est peut-être pas l'Amérique"	French	11	41
408	 Israel	Hakol Over Habibi	"Halayla" (הלילה)	Hebrew	7	56
409	 Denmark	Tommy Seebach (2) & Debbie Cameron	"Krøller eller ej"	Danish	11	41
410	 Yugoslavia	Vajta	"Lejla"	Bosnian	15	35
411	 Finland	Riki Sorsa	"Reggae OK"	Finnish	16	27
				(title English)		
412	 France	Jean Gabilou	"Humanahum"	French	3	125
				(title Latin)		
413	 Spain	Bacchelli	"Y sólo tú"	Spanish	14	38
414	 Netherlands	Linda Williams	"Het is een wonder"	Dutch	9	51
415	 Ireland	Sheeba	"Horoscopes"	English	5	105
416	 Norway	Finn Kalvik	"Aldri i livet"	Norwegian	20	0
417	 United Kingdom	Bucks Fizz	"Making Your Mind Up"	English	1	136
418	 Portugal	Carlos Paião	"Playback"	Portuguese	18	9
				(title English)		
419	 Belgium	Emly Starr	"Samson"	Dutch	13	40
420	 Greece	Yiannis Dimitras	"Feggari kalokerino" (Φεγγάρι καλοκαιρινό)	Greek	8	55
421	 Cyprus	Island	"Monika" (Μόνικα)	Greek	6	69
422	  Switzerland	Peter, Sue & Marc (4)	"Io senza te"	Italian	4	121
423	 Sweden	Björn Skifs (2)	"Fångad i en dröm"	Swedish	10	50
27th Eurovision Song Contest 1982, Harrogate, United Kingdom						
424	 Portugal	Doce	"Bem bom"	Portuguese	13	32
425	 Luxembourg	Svetlana	"Cours après le temps"	French	6	78
426	 Norway	Jahn Teigen (2) & Anita Skorgan (3)	"Adieu"	Norwegian	12	40
				(title French)		
427	 United Kingdom	Bardo	"One Step Further"	English	7	76
428	 Turkey	Neco	"Hani?"	Turkish	15	20
429	 Finland	Kojo	"Nuku pommiin"	Finnish	18	0
430	  Switzerland	Arlette Zola	"Amour on t'aime"	French	3	97
431	 Cyprus	Anna Vissi (2)	"Mono i agapi" (Μόνο η αγάπη)	Greek	5	85
432	 Sweden	Chips	"Dag efter dag"	Swedish	8	67
433	 Austria	Mess	"Sonntag"	German	9	57
434	 Belgium	Stella	"Si tu aimes ma musique"	French	4	96
435	 Spain	Lucía	"Él"	Spanish	10	52
436	 Denmark	Brixx	"Video, video"	Danish	17	5
437	 Yugoslavia	Aska	"Halo, halo" (Хало, хало)	Serbian	14	21
438	 Israel	Avi Toledano	"Hora" (הורה)	Hebrew	2	100
439	 Netherlands	Bill van Dijk	"Jij en ik"	Dutch	16	8
440	 Ireland	The Duskeys	"Here Today, Gone Tomorrow"	English	11	49
441	 Germany	Nicole	"Ein bißchen Frieden"	German	1	161
28th Eurovision Song Contest 1983, Munich, West Germany						
442	 France	Guy Bonnet (2)	"Vivre"	French	8	56
443	 Norway	Jahn Teigen (3)	"Do re mi"	Norwegian	9	53
444	 United Kingdom	Sweet Dreams	"I'm Never Giving Up"	English	6	79
445	 Sweden	Carola	"Främling"	Swedish	3	126
446	 Italy	Riccardo Fogli	"Per Lucia"	Italian	11	41
447	 Turkey	Çetin Alp & The Short Waves	"Opera"	Turkish	19	0
448	 Spain	Remedios Amaya	"¿Quién maneja mi barca?"	Spanish	19	0
449	  Switzerland	Mariella Farré	"Io così non ci sto"	Italian	15	28
450	 Finland	Ami Aspelund	"Fantasiaa"	Finnish	11	41
451	 Greece	Christie Stassinopoulou	"Mou les" (Μου λες)	Greek	14	32
452	 Netherlands	Bernadette	"Sing Me a Song"	Dutch	7	66
				(title English)		
453	 Yugoslavia	Daniel	"Džuli" (Џули)	Montenegrin	4	125
454	 Cyprus	Stavros & Constantina	"I agapi akoma zi" (Η αγάπη ακόμα ζει)	Greek	16	26
455	 Germany	Hoffmann & Hoffmann	"Rücksicht"	German	5	94
456	 Denmark	Gry Johansen	"Kloden drejer"	Danish	17	16
457	 Israel	Ofra Haza	"Khay" (חי)	Hebrew	2	136
458	 Portugal	Armando Gama	"Esta balada que te dou"	Portuguese	13	33
459	 Austria	Westend	"Hurricane"	German	9	53
				(title English)		
460	 Belgium	Pas de Deux	"Rendez-vous"	Dutch	18	13
				(title French)		
461	 Luxembourg	Corinne Hermès	"Si la vie est cadeau"	French	1	142
29th Eurovision Song Contest 1984, Luxembourg City, Luxembourg						
462	 Sweden	Herreys	"Diggi-loo diggi-ley"	Swedish	1	145
463	 Luxembourg	Sophie Carle	"100% d'amour"	French	10	39
464	 France	Annick Thoumazeau	"Autant d'amoureux que d'étoiles"	French	8	61
465	 Spain	Bravo	"Lady, Lady"	Spanish	3	106
				(title English)		
466	 Norway	Dollie de Luxe	"Lenge leve livet"	Norwegian	17	29
467	 United Kingdom	Belle & The Devotions	"Love Games"	English	7	63
468	 Cyprus	Andy Paul	"Anna Maria Lena" (Άννα Μαρία Λένα)	Greek	15	31
469	 Belgium	Jacques Zegers	"Avanti la vie"	French	5	70
				(title partly Italian)		
470	 Ireland	Linda Martin	"Terminal 3"	English	2	137
471	 Denmark	Hot Eyes	"Det' lige det"	Danish	4	101
472	 Netherlands	Maribelle	"Ik hou van jou"	Dutch	13	34
473	 Yugoslavia	Izolda & Vlado	"Ciao, amore"	Croatian	18	26
				(title Italian)		
474	 Austria	Anita	"Einfach weg"	German	19	5
475	 Germany	Mary Roos (2)	"Aufrecht geh'n"	German	13	34
476	 Turkey	Beş Yıl Önce On Yıl Sonra	"Halay"	Turkish	12	37
477	 Finland	Kirka	"Hengaillaan"	Finnish	9	46
478	  Switzerland	Rainy Day	"Welche Farbe hat der Sonnenschein?"	German	16	30
479	 Italy	Alice & Franco Battiato	"I treni di Tozeur"	Italian (German)	5	70
480	 Portugal	Maria Guinot	"Silêncio e tanta gente"	Portuguese	11	38
30th Eurovision Song Contest 1985, Gothenburg, Sweden						
481	 Ireland	Maria Christian	"Wait Until the Weekend Comes"	English	6	91
482	 Finland	Sonja Lumme	"Eläköön elämä"	Finnish	9	58
483	 Cyprus	Lia Vissi	"To katalava arga" (Το κατάλαβα αργά)	Greek	16	15
484	 Denmark	Hot Eyes (2)	"Sku' du spørg' fra no'en?"	Danish	11	41
485	 Spain	Paloma San Basilio	"La fiesta terminó"	Spanish	14	36
486	 France	Roger Bens	"Femme dans ses rêves aussi"	French	10	56
487	 Turkey	MFÖ	"Didai didai dai (Aşık oldum)"	Turkish	14	36
488	 Belgium	Linda Lepomme	"Laat me nu gaan"	Dutch	19	7
489	 Portugal	Adelaide	"Penso em ti, eu sei"	Portuguese	18	9
490	 Germany	Wind	"Für alle"	German	2	105
491	 Israel	Izhar Cohen (2)	"Olé, olé" (עולה, עולה)	Hebrew	5	93
				(title Spanish)		
492	 Italy	Al Bano & Romina Power (2)	"Magic Oh Magic"	Italian	7	78
				(title English)		
493	 Norway	Bobbysocks!	"La det swinge"	Norwegian	1	123
494	 United Kingdom	Vikki	"Love Is…"	English	4	100
495	  Switzerland	Mariella Farré (2) & Pino Gasparini	"Piano, piano"	German	12	39
				(title Italian)		
496	 Sweden	Kikki Danielsson	"Bra vibrationer"	Swedish	3	103
497	 Austria	Gary Lux	"Kinder dieser Welt"	German	8	60
498	 Luxembourg	Margo, Franck Olivier, Chris Roberts, Malcolm Roberts, Ireen Sheer (3) & Diane Solomon	"Children, Kinder, enfants"	French	13	37
				(English/German)		
499	 Greece	Takis Biniaris	"Miazoume" (Μοιάζουμε)	Greek	16	15
31st Eurovision Song Contest 1986, Bergen, Norway						
500	 Luxembourg	Sherisse Laurence	"L'amour de ma vie"	French	3	117
501	 Yugoslavia	Doris Dragović	"Željo moja"	Croatian	11	49
502	 France	Cocktail Chic	"Européennes"	French	17	13
503	 Norway	Ketil Stokkan	"Romeo"	Norwegian	12	44
504	 United Kingdom	Ryder	"Runner in the Night"	English	7	72
505	 Iceland	ICY	"Gleðibankinn"	Icelandic	16	19
506	 Netherlands	Frizzle Sizzle	"Alles heeft ritme"	Dutch	13	40
507	 Turkey	Klips ve Onlar	"Halley"	Turkish (French/	9	53
				English/Italian)		
508	 Spain	Cadillac	"Valentino"	Spanish	10	51
509	  Switzerland	Daniela Simmons	"Pas pour moi"	French	2	140
510	 Israel	Moti Giladi & Sarai Tzuriel	"Yavo yom" (יבוא יום)	Hebrew	19	7
511	 Ireland	Luv Bug	"You Can Count on Me"	English	4	96
512	 Belgium	Sandra Kim	"J'aime la vie"	French	1	176
513	 Germany	Ingrid Peters	"Über die Brücke geh'n"	German	8	62
514	 Cyprus	Elpida (2)	"Tora zo" (Τώρα ζω)	Greek	20	4
515	 Austria	Timna Brauer	"Die Zeit ist einsam"	German	18	12
516	 Sweden	Lasse Holm & Monica Törnell	"E' de' det här du kallar kärlek?"	Swedish	5	78
517	 Denmark	Lise Haavik	"Du er fuld af løgn"	Danish	6	77
518	 Finland	Kari	"Never the End (Päivä kahden ihmisen)"	Finnish	15	22
				(title English)		
519	 Portugal	Dora	"Não sejas mau para mim"	Portuguese	14	28
32nd Eurovision Song Contest 1987, Brussels, Belgium						
520	 Norway	Kate Gulbrandsen	"Mitt liv"	Norwegian	9	65
521	 Israel	Lazy Bums	"Shir habatlanim" (שיר הבטלנים)	Hebrew	8	73
522	 Austria	Gary Lux (2)	"Nur noch Gefühl"	German	20	8
523	 Iceland	Halla Margrét	"Hægt og hljótt"	Icelandic	16	28
524	 Belgium	Liliane Saint-Pierre	"Soldiers of Love"	Dutch	11	56
				(title English)		
525	 Sweden	Lotta Engberg	"Boogaloo"	Swedish	12	50
526	 Italy	Umberto Tozzi & Raf	"Gente di mare"	Italian	3	103
527	 Portugal	Nevada	"Neste barco à vela"	Portuguese	18	15
528	 Spain	Patricia Kraus	"No estás solo"	Spanish	19	10
529	 Turkey	Seyyal Taner & Lokomotif	"Şarkım sevgi üstüne"	Turkish	22	0
530	 Greece	Bang	"Stop" (Στοπ)	Greek	10	64
531	 Netherlands	Marcha	"Rechtop in de wind"	Dutch	5	83
532	 Luxembourg	Plastic Bertrand	"Amour, amour"	French	21	4
533	 United Kingdom	Rikki	"Only the Light"	English	13	47
534	 France	Christine Minier	"Les mots d'amour n'ont pas de dimanche"	French	14	44
535	 Germany	Wind (2)	"Lass die Sonne in dein Herz"	German	2	141
536	 Cyprus	Alexia	"Aspro-mavro" (Άσπρο-μαύρο)	Greek	7	80
537	 Finland	Vicky Rosti feat. Boulevard	"Sata salamaa"	Finnish	15	32
538	 Denmark	Anne-Cathrine Herdorf & Bandjo	"En lille melodi"	Danish	5	83
539	 Ireland	Johnny Logan (2)	"Hold Me Now"	English	1	172
540	 Yugoslavia	Novi fosili	"Ja sam za ples"	Croatian	4	92
541	  Switzerland	Carol Rich	"Moitié, moitié"	French	17	26
33rd Eurovision Song Contest 1988, Dublin, Ireland						
542	 Iceland	Beathoven	"Þú og þeir (Sókrates)"	Icelandic	16	20
543	 Sweden	Tommy Körberg (2)	"Stad i ljus"	Swedish	12	52
544	 Finland	Boulevard (2)	"Nauravat silmät muistetaan"	Finnish	20	3
545	 United Kingdom	Scott Fitzgerald	"Go"	English	2	136
546	 Turkey	MFÖ (2)	"Sufi"	Turkish (English)	15	37
547	 Spain	La Década	"La chica que yo quiero (Made in Spain)"	Spanish (English)	11	58
548	 Netherlands	Gerard Joling	"Shangri-La"	Dutch	9	70
549	 Israel	Yardena Arazi	"Ben adam" (בן אדם)	Hebrew	7	85
550	  Switzerland	Céline Dion	"Ne partez pas sans moi"	French	1	137
551	 Ireland	Jump the Gun	"Take Him Home"	English	8	79
552	 Germany	Maxi & Chris Garden	"Lied für einen Freund"	German	14	48
553	 Austria	Wilfried	"Lisa Mona Lisa"	German	21	0
554	 Denmark	Kirsten & Søren (Hot Eyes) (3)	"Ka' du se hva' jeg sa'?"	Danish	3	92
555	 Greece	Afrodite Fryda	"Kloun" (Κλόουν)	Greek	17	10
556	 Norway	Karoline Krüger	"For vår jord"	Norwegian	5	88
557	 Belgium	Reynaert	"Laissez briller le soleil"	French	18	5
558	 Luxembourg	Lara Fabian	"Croire"	French	4	90
559	 Italy	Luca Barbarossa	"Vivo (Ti scrivo)"	Italian	12	52
560	 France	Gérard Lenorman	"Chanteur de charme"	French	10	64
561	 Portugal	Dora (2)	"Voltarei"	Portuguese	18	5
562	 Yugoslavia	Srebrna krila	"Mangup"	Croatian	6	87
34th Eurovision Song Contest 1989, Lausanne, Switzerland						
563	 Italy	Anna Oxa & Fausto Leali	"Avrei voluto"	Italian	9	56
564	 Israel	Gili & Galit	"Derekh hamelekh" (דרך המלך)	Hebrew	12	50
565	 Ireland	Kiev Connolly & The Missing Passengers	"The Real Me"	English	18	21
566	 Netherlands	Justine Pelmelay	"Blijf zoals je bent"	Dutch	15	45
567	 Turkey	Pan	"Bana bana"	Turkish	21	5
568	 Belgium	Ingeborg	"Door de wind"	Dutch	19	13
569	 United Kingdom	Live Report	"Why Do I Always Get It Wrong?"	English	2	130
570	 Norway	Britt Synnøve Johansen	"Venners nærhet"	Norwegian	17	30
571	 Portugal	Da Vinci	"Conquistador"	Portuguese	16	39
572	 Sweden	Tommy Nilsson	"En dag"	Swedish	4	110
573	 Luxembourg	Park Café	"Monsieur"	French	20	8
574	 Denmark	Birthe Kjær	"Vi maler byen rød"	Danish	3	111
575	 Austria	Thomas Forstner	"Nur ein Lied"	German	5	97
576	 Finland	Anneli Saaristo	"La dolce vita"	Finnish	7	76
				(title Italian)		
577	 France	Nathalie Pâque	"J'ai volé la vie"	French	8	60
578	 Spain	Nina	"Nacida para amar"	Spanish	6	88
579	 Cyprus	Fani Polymeri & Yiannis Savvidakis	"Apopse as vrethume" (Απόψε ας βρεθούμε)	Greek	11	51
580	  Switzerland	Furbaz	"Viver senza tei"	Romansh	13	47
581	 Greece	Marianna Efstratiou	"To diko sou asteri" (Το δικό σου αστέρι)	Greek	9	56
582	 Iceland	Daníel Ágúst Haraldsson	"Það sem enginn sér"	Icelandic	22	0
583	 Germany	Nino de Angelo	"Flieger"	German	14	46
584	 Yugoslavia	Riva	"Rock Me"	Croatian	1	137
				(title English)		
35th Eurovision Song Contest 1990, Zagreb, Yugoslavia						
585	 Spain	Azúcar Moreno	"Bandido"	Spanish (English)	5	96
586	 Greece	Christos Callow feat. Wave	"Horis skopo" (Χωρίς σκοπό)	Greek	19	11
587	 Belgium	Philippe Lafontaine	"Macédomienne"	French	12	46
588	 Turkey	Kayahan	"Gözlerinin hapsindeyim"	Turkish	17	21
589	 Netherlands	Maywood	"Ik wil alles met je delen"	Dutch	15	25
590	 Luxembourg	Céline Carzo	"Quand je te rêve"	French	13	38
591	 United Kingdom	Emma	"Give a Little Love Back to the World"	English	6	87
592	 Iceland	Stjórnin	"Eitt lag enn"	Icelandic	4	124
593	 Norway	Ketil Stokkan (2)	"Brandenburger Tor"	Norwegian	21	8
				(title German)		
594	 Israel	Rita	"Shara barkhovot" (שרה ברחובות)	Hebrew	18	16
595	 Denmark	Lonnie Devantier	"Hallo hallo"	Danish	8	64
596	  Switzerland	Egon Egemann	"Musik klingt in die Welt hinaus"	German	11	51
597	 Germany	Chris Kempers & Daniel Kovac	"Frei zu leben"	German	9	60
598	 France	Joëlle Ursull	"White and Black Blues"	French	2	132
				(title English)		
599	 Yugoslavia	Tajči	"Hajde da ludujemo"	Croatian	7	81
600	 Portugal	Nucha	"Há sempre alguém"	Portuguese	20	9
601	 Ireland	Liam Reilly	"Somewhere in Europe"	English	2	132
602	 Sweden	Edin-Ådahl	"Som en vind"	Swedish	16	24
603	 Italy	Toto Cutugno	"Insieme: 1992"	Italian (English)	1	149
604	 Austria	Simone	"Keine Mauern mehr"	German (English/	10	58
				French/Croatian)		
605	 Cyprus	Anastazio	"Milas poli" (Μιλάς πολύ)	Greek	14	36
606	 Finland	Beat	"Fri?"	Swedish	21	8
36th Eurovision Song Contest 1991, Rome, Italy						
607	 Yugoslavia	Baby Doll	"Brazil" (Бразил)	Serbian	21	1
608	 Iceland	Stefán & Eyfi	"Draumur um Nínu (Nína)"	Icelandic	15	26
609	 Malta	Georgina & Paul Giordimaina	"Could It Be"	English	6	106
610	 Greece	Sophia Vossou	"I anixi" (Η άνοιξη)	Greek	13	36
611	  Switzerland	Sandra Simó	"Canzone per te"	Italian	5	118
612	 Austria	Thomas Forstner (2)	"Venedig im Regen"	German	22	0
613	 Luxembourg	Sarah Bray	"Un baiser volé"	French	14	29
614	 Sweden	Carola (2)	"Fångad av en stormvind"	Swedish	1	146
615	 France	Amina	"C'est le dernier qui a parlé qui a raison"	French	2	146
616	 Turkey	Can Uğurluer, İzel Çeliköz & Reyhan Karaca	"İki dakika"	Turkish	12	44
617	 Ireland	Kim Jackson	"Could It Be That I'm in Love"	English	10	47
618	 Portugal	Dulce Pontes	"Lusitana paixão"	Portuguese	8	62
619	 Denmark	Anders Frandsen	"Lige der hvor hjertet slår"	Danish	19	8
620	 Norway	Just 4 Fun	"Mrs. Thompson"	Norwegian	17	14
				(title English)		
621	 Israel	Duo Datz	"Kan" (כאן)	Hebrew	3	139
622	 Finland	Kaija	"Hullu yö"	Finnish	20	6
623	 Germany (United)	Atlantis 2000	"Dieser Traum darf niemals sterben"	German	18	10
624	 Belgium	Clouseau	"Geef het op"	Dutch	16	23
625	 Spain	Sergio Dalma	"Bailar pegados"	Spanish	4	119
626	 United Kingdom	Samantha Janus	"A Message to Your Heart"	English	10	47
627	 Cyprus	Elena Patroklou	"S.O.S."	Greek	9	60
				(title English)		
628	 Italy	Peppino di Capri	"Comme è ddoce 'o mare"	Neapolitan	7	89
37th Eurovision Song Contest 1992, Malmö, Sweden						
629	 Spain	Serafín Zubiri	"Todo esto es la música"	Spanish	14	37
630	 Belgium	Morgane	"Nous, on veut des violons"	French	20	11
631	 Israel	Dafna Dekel	"Ze rak sport" (זה רק ספורט)	Hebrew	6	85
632	 Turkey	Aylin Vatankoş	"Yaz bitti"	Turkish	19	17
633	 Greece	Cleopatra	"Olou tou kosmou i Elpida" (Όλου του κόσμου η Ελπίδα)	Greek	5	94
634	 France	Kali	"Monté la riviè"	Antillean Creole/	8	73
				French		
635	 Sweden	Christer Björkman	"I morgon är en annan dag"	Swedish	22	9
636	 Portugal	Dina	"Amor d'água fresca"	Portuguese	17	26
637	 Cyprus	Evridiki	"Teriazoume" (Ταιριάζουμε)	Greek	11	57
638	 Malta	Mary Spiteri	"Little Child"	English	3	123
639	 Iceland	Heart 2 Heart	"Nei eða já"	Icelandic	7	80
640	 Finland	Pave	"Yamma, yamma"	Finnish	23	4
641	  Switzerland	Daisy Auvray	"Mister Music Man"	French	15	32
				(title English)		
642	 Luxembourg	Marion Welter & Kontinent	"Sou fräi"	Luxembourgish	21	10
643	 Austria	Tony Wegas	"Zusammen geh'n"	German (Italian)	10	63
644	 United Kingdom	Michael Ball	"One Step Out of Time"	English	2	139
645	 Ireland	Linda Martin (2)	"Why Me?"	English	1	155
646	 Denmark	Lotte Nilsson & Kenny Lübcke	"Alt det som ingen ser"	Danish	12	47
647	 Italy	Mia Martini (2)	"Rapsodia"	Italian	4	111
648	 Yugoslavia (Serbia and Montenegro)	Extra Nena	"Ljubim te pesmama" (Љубим те песмама)	Serbian	13	44
649	 Norway	Merethe Trøan	"Visjoner"	Norwegian	18	23
650	 Germany	Wind (3)	"Träume sind für alle da"	German	16	27
651	 Netherlands	Humphrey Campbell	"Wijs me de weg"	Dutch	9	67
38th Eurovision Song Contest 1993, Millstreet, Ireland						
652	 Italy	Enrico Ruggeri	"Sole d'Europa"	Italian	12	45
653	 Turkey	Burak Aydos	"Esmer yarim"	Turkish	21	10
654	 Germany	Münchener Freiheit	"Viel zu weit"	German	18	18
655	  Switzerland	Annie Cotton	"Moi, tout simplement"	French	3	148
656	 Denmark	Tommy Seebach (3) Band	"Under stjernerne på himlen"	Danish	22	9
657	 Greece	Katerina Garbi	"Ellada, hora tou fotos" (Ελλάδα, χώρα του φωτός)	Greek	9	64
658	 Belgium	Barbara Dex	"Iemand als jij"	Dutch	25	3
659	 Malta	William Mangion	"This Time"	English	8	69
660	 Iceland	Inga	"Þá veistu svarið"	Icelandic	13	42
661	 Austria	Tony Wegas (2)	"Maria Magdalena"	German	14	32
662	 Portugal	Anabela	"A cidade (Até ser dia)"	Portuguese	10	60
663	 France	Patrick Fiori	"Mama Corsica"	French (Corsican)	4	121
664	 Sweden	Arvingarna	"Eloise"	Swedish	7	89
665	 Ireland	Niamh Kavanagh	"In Your Eyes"	English	1	187
666	 Luxembourg	Modern Times	"Donne-moi une chance"	French	20	11
				(Luxembourgish)		
667	 Slovenia	1X Band	"Tih deževen dan"	Slovene	22	9
668	 Finland	Katri Helena (2)	"Tule luo"	Finnish	17	20
669	 Bosnia and Herzegovina	Fazla	"Sva bol svijeta"	Bosnian	16	27
670	 United Kingdom	Sonia	"Better the Devil You Know"	English	2	164
671	 Netherlands	Ruth Jacott	"Vrede"	Dutch	6	92
672	 Croatia	Put	"Don't Ever Cry"	Croatian (English)	15	31
673	 Spain	Eva Santamaría	"Hombres"	Spanish	11	58
674	 Cyprus	Zymboulakis & Van Beke	"Mi stamatas" (Μη σταματάς)	Greek	19	17
675	 Israel	Lahakat Shiru	"Shiru" (שירו)	Hebrew (English)	24	4
676	 Norway	Silje Vige	"Alle mine tankar"	Norwegian	5	120
39th Eurovision Song Contest 1994, Dublin, Ireland						
677	 Sweden	Marie Bergman & Roger Pontare	"Stjärnorna"	Swedish	13	48
678	 Finland	CatCat	"Bye Bye Baby"	Finnish (English)	22	11
679	 Ireland	Paul Harrington & Charlie McGettigan	"Rock 'n' Roll Kids"	English	1	226
680	 Cyprus	Evridiki (2)	"Ime anthropos ki ego" (Είμαι άνθρωπος κι εγώ)	Greek	11	51
681	 Iceland	Sigga	"Nætur"	Icelandic	12	49
682	 United Kingdom	Frances Ruffelle	"We Will Be Free (Lonely Symphony)"	English	10	63
683	 Croatia	Tony Cetinski	"Nek' ti bude ljubav sva"	Croatian	16	27
684	 Portugal	Sara Tavares	"Chamar a música"	Portuguese	8	73
685	  Switzerland	Duilio	"Sto pregando"	Italian	19	15
686	 Estonia	Silvi Vrait	"Nagu merelaine"	Estonian	24	2
687	 Romania	Dan Bittman	"Dincolo de nori"	Romanian	21	14
688	 Malta	Chris & Moira	"More Than Love"	English	5	97
689	 Netherlands	Willeke Alberti	"Waar is de zon"	Dutch	23	4
690	 Germany	MeKaDo	"Wir geben 'ne Party"	German (English)	3	128
691	 Slovakia	Martin Ďurinda & Tublatanka	"Nekonečná pieseň"	Slovak	19	15
692	 Lithuania	Ovidijus Vyšniauskas	"Lopšinė mylimai"	Lithuanian	25	0
693	 Norway	Elisabeth Andreassen & Jan Werner Danielsen	"Duett"	Norwegian	6	76
694	 Bosnia and Herzegovina	Alma & Dejan	"Ostani kraj mene"	Bosnian	15	39
695	 Greece	Kostas Bigalis & The Sea Lovers	"To trehandiri (Diri diri)" (Το τρεχαντήρι (Ντίρι ντίρι))	Greek	14	44
696	 Austria	Petra Frey	"Für den Frieden der Welt"	German	17	19
697	 Spain	Alejandro Abad	"Ella no es ella"	Spanish	18	17
698	 Hungary	Friderika	"Kinek mondjam el vétkeimet?"	Hungarian	4	122
699	 Russia	Youddiph	"Vechnyy strannik" (Вечный странник)	Russian	9	70
700	 Poland	Edyta Górniak	"To nie ja!"	Polish	2	166
701	 France	Nina Morato	"Je suis un vrai garçon"	French	7	74
40th Eurovision Song Contest 1995, Dublin, Ireland						
702	 Poland	Justyna	"Sama"	Polish	18	15
703	 Ireland	Eddie Friel	"Dreamin'"	English	14	44
704	 Germany	Stone & Stone	"Verliebt in Dich"	German	23	1
705	 Bosnia and Herzegovina	Davor Popović	"Dvadeset prvi vijek"	Bosnian	19	14
706	 Norway	Secret Garden	"Nocturne"	Norwegian	1	148
707	 Russia	Philipp Kirkorov	"Kolybel'naya dlya vulkana" (Колыбельная для вулкана)	Russian	17	17
708	 Iceland	Bo Halldórsson	"Núna"	Icelandic	15	31
709	 Austria	Stella Jones	"Die Welt dreht sich verkehrt"	German	13	67
710	 Spain	Anabel Conde	"Vuelve conmigo"	Spanish	2	119
711	 Turkey	Arzu Ece	"Sev"	Turkish	16	21
