,code,country,year,KOFGI,KOFGIdf,KOFGIdj,KOFEcGI,KOFEcGIdf,KOFEcGIdj,KOFTrGI,KOFTrGIdf,KOFTrGIdj,KOFFiGI,KOFFiGIdf,KOFFiGIdj,KOFSoGI,KOFSoGIdf,KOFSoGIdj,KOFIpGI,KOFIpGIdf,KOFIpGIdj,KOFInGI,KOFInGIdf,KOFInGIdj,KOFCuGI,KOFCuGIdf,KOFCuGIdj,KOFPoGI,KOFPoGIdf,KOFPoGIdj
87,ADO,Andorra,2010,51.30951690673828,51.83361053466797,50.6814079284668,,,,,,,,79.55730438232422,,85.21842956542969,85.76263427734375,84.38695526123047,94.86833953857422,98.45512390136719,,86.87289428710938,80.77964782714844,96.1424331665039,74.74961853027344,79.22859191894531,69.05784606933594,29.450298309326172,13.72912883758545,45.17146682739258
88,ADO,Andorra,2011,47.289955139160156,52.0701904296875,41.54949951171875,,,,,,,,80.75343322753906,,85.3255386352539,85.76994323730469,84.64356231689453,94.74943542480469,98.26371765136719,,87.16250610351562,81.26705932617188,96.17727661132812,74.81932830810547,78.81781768798828,69.71497344970703,21.168697357177734,13.785148620605469,28.552242279052734
89,ADO,Andorra,2012,49.03522491455078,52.04036331176758,45.41302490234375,,,,,,,,82.4604721069336,,85.50093841552734,85.71829223632812,85.1659927368164,94.75782012939453,98.27156066894531,,87.69568634033203,81.74088287353516,96.85419464111328,74.68938446044922,78.02378845214844,70.41361999511719,24.22291374206543,13.13670825958252,35.309120178222656
90,ADO,Andorra,2013,47.89583206176758,51.899749755859375,43.04931640625,,,,,,,,82.4023208618164,,85.7949447631836,85.64945983886719,86.02031707763672,94.9332046508789,98.01455688476562,,88.02777862548828,81.87542724609375,97.54944610595703,75.0163345336914,77.8900375366211,71.30711364746094,21.716447830200195,12.821475982666016,30.611417770385742
91,ADO,Andorra,2014,46.25807189941406,52.09218215942383,39.1618766784668,,,,,,,,82.40972900390625,,86.1723403930664,85.94044494628906,86.53298950195312,95.45238494873047,98.27299499511719,,88.3543472290039,82.41889190673828,97.6072006225586,75.3343505859375,77.87749481201172,72.05097961425781,18.09258460998535,12.874897003173828,23.310274124145508
92,ADO,Andorra,2015,46.37995910644531,52.17768478393555,39.30708312988281,,,,,,,,82.40362548828125,,86.49644470214844,86.03092193603516,87.22293090820312,95.99915313720703,98.05660247802734,,88.69230651855469,82.97875213623047,97.66705322265625,75.44782257080078,77.63787841796875,72.62866973876953,18.0960750579834,12.914944648742676,23.27720069885254
93,ADO,Andorra,2016,46.41900634765625,52.18315887451172,39.35987854003906,,,,,,,,82.39769744873047,,86.5662612915039,85.96597290039062,87.50772094726562,96.3447265625,98.05229187011719,,88.51499938964844,83.10999298095703,97.07034301757812,75.58036041259766,77.23161315917969,73.45533752441406,18.1061954498291,12.938711166381836,23.273679733276367
188,ALB,Albania,1970,30.072179794311523,27.86155128479004,32.282814025878906,23.93510627746582,22.275386810302734,25.594831466674805,21.066041946411133,17.438623428344727,24.693458557128906,26.804176330566406,27.112150192260742,26.496204376220703,30.800809860229492,28.173343658447266,33.428279876708984,32.183841705322266,33.203800201416016,31.16388511657715,35.73930358886719,25.81867027282715,45.65993881225586,24.47928810119629,25.497568130493164,23.46100616455078,35.48063278198242,33.135929107666016,37.82533264160156
189,ALB,Albania,1971,31.017345428466797,27.86155128479004,34.17314529418945,23.93510627746582,22.275386810302734,25.594831466674805,21.066041946411133,17.438623428344727,24.693458557128906,26.804176330566406,27.112150192260742,26.496204376220703,30.67061996459961,28.173343658447266,33.16790008544922,31.614639282226562,33.203800201416016,30.025480270385742,35.73930358886719,25.81867027282715,45.65993881225586,24.657920837402344,25.497568130493164,23.81827163696289,38.44632339477539,33.135929107666016,43.7567138671875
190,ALB,Albania,1972,29.42107391357422,29.369098663330078,29.47305679321289,23.93510627746582,22.275386810302734,25.594831466674805,21.066041946411133,17.438623428344727,24.693458557128906,26.804176330566406,27.112150192260742,26.496204376220703,30.540430068969727,28.173343658447266,32.90752029418945,31.045438766479492,33.203800201416016,28.887075424194336,35.73930358886719,25.81867027282715,45.65993881225586,24.8365535736084,25.497568130493164,24.175537109375,33.78770065307617,37.6585693359375,29.916828155517578
191,ALB,Albania,1973,27.51482582092285,29.731922149658203,25.2977352142334,23.93510627746582,22.275386810302734,25.594831466674805,21.066041946411133,17.438623428344727,24.693458557128906,26.804176330566406,27.112150192260742,26.496204376220703,30.38544464111328,28.131155014038086,32.639739990234375,30.22321891784668,33.07723617553711,27.369203567504883,35.73930358886719,25.81867027282715,45.65993881225586,25.193817138671875,25.497568130493164,24.890066146850586,28.223936080932617,38.78923034667969,17.658641815185547
192,ALB,Albania,1974,29.69683837890625,29.606292724609375,29.78739356994629,23.93510627746582,22.275386810302734,25.594831466674805,21.066041946411133,17.438623428344727,24.693458557128906,26.804176330566406,27.112150192260742,26.496204376220703,30.002277374267578,28.131155014038086,31.87339973449707,28.89508056640625,33.07723617553711,24.712926864624023,35.73930358886719,25.81867027282715,45.65993881225586,25.37244987487793,25.497568130493164,25.247331619262695,35.15314865112305,38.4123420715332,31.89395523071289
