,Year,(semi-) final,Jury or Televoting,From country,To country,Points,2_minority_in_1
132,1992,f,J,Belgium,Germany,6,1.0
133,1993,f,J,Belgium,Germany,0,1.0
134,1995,f,J,Belgium,Germany,0,1.0
135,1998,f,J,Belgium,Germany,7,1.0
136,1999,f,J,Belgium,Germany,10,1.0
137,2000,f,J,Belgium,Germany,6,1.0
138,2002,f,J,Belgium,Germany,0,1.0
139,2003,f,J,Belgium,Germany,0,1.0
140,2004,f,J,Belgium,Germany,0,1.0
141,2005,f,J,Belgium,Germany,0,1.0
142,2006,f,J,Belgium,Germany,1,1.0
143,2007,f,J,Belgium,Germany,0,1.0
144,2008,f,J,Belgium,Germany,0,1.0
145,2009,f,J,Belgium,Germany,2,1.0
146,2010,f,J,Belgium,Germany,10,1.0
147,2011,f,J,Belgium,Germany,5,1.0
148,2012,f,J,Belgium,Germany,0,1.0
149,2013,f,J,Belgium,Germany,0,1.0
150,2014,f,J,Belgium,Germany,0,1.0
151,2015,f,J,Belgium,Germany,0,1.0
152,2016,f,J,Belgium,Germany,0,1.0
153,2016,f,T,Belgium,Germany,0,1.0
154,1975,f,J,Belgium,Ireland,12,0.0
155,1976,f,J,Belgium,Ireland,0,0.0
156,1977,f,J,Belgium,Ireland,3,0.0
157,1978,f,J,Belgium,Ireland,10,0.0
158,1979,f,J,Belgium,Ireland,10,0.0
159,1980,f,J,Belgium,Ireland,12,0.0
160,1981,f,J,Belgium,Ireland,1,0.0
161,1982,f,J,Belgium,Ireland,0,0.0
162,1984,f,J,Belgium,Ireland,12,0.0
163,1985,f,J,Belgium,Ireland,8,0.0
164,1986,f,J,Belgium,Ireland,2,0.0
165,1987,f,J,Belgium,Ireland,12,0.0
166,1988,f,J,Belgium,Ireland,5,0.0
167,1989,f,J,Belgium,Ireland,3,0.0
168,1990,f,J,Belgium,Ireland,7,0.0
169,1991,f,J,Belgium,Ireland,5,0.0
170,1992,f,J,Belgium,Ireland,7,0.0
171,1993,f,J,Belgium,Ireland,2,0.0
172,1995,f,J,Belgium,Ireland,0,0.0
173,1996,f,J,Belgium,Ireland,3,0.0
174,1998,f,J,Belgium,Ireland,0,0.0
175,1999,f,J,Belgium,Ireland,0,0.0
176,2000,f,J,Belgium,Ireland,4,0.0
177,2003,f,J,Belgium,Ireland,1,0.0
178,2004,f,J,Belgium,Ireland,0,0.0
179,2005,sf,J,Belgium,Ireland,0,0.0
180,2006,f,J,Belgium,Ireland,0,0.0
181,2006,sf,J,Belgium,Ireland,3,0.0
182,2007,f,J,Belgium,Ireland,0,0.0
183,2008,sf1,J,Belgium,Ireland,4,0.0
184,2010,f,J,Belgium,Ireland,0,0.0
185,2011,f,J,Belgium,Ireland,7,0.0
186,2011,sf2,J,Belgium,Ireland,5,0.0
187,2012,f,J,Belgium,Ireland,4,0.0
188,2012,sf1,J,Belgium,Ireland,7,0.0
189,2013,f,J,Belgium,Ireland,0,0.0
190,2013,sf1,J,Belgium,Ireland,4,0.0
191,2016,sf2,J,Belgium,Ireland,0,0.0
192,2016,sf2,T,Belgium,Ireland,4,0.0
193,1975,f,J,Belgium,Israel,1,0.0
194,1976,f,J,Belgium,Israel,5,0.0
195,1977,f,J,Belgium,Israel,1,0.0
196,1978,f,J,Belgium,Israel,12,0.0
197,1979,f,J,Belgium,Israel,2,0.0
198,1981,f,J,Belgium,Israel,0,0.0
199,1982,f,J,Belgium,Israel,7,0.0
200,1983,f,J,Belgium,Israel,10,0.0
201,1985,f,J,Belgium,Israel,0,0.0
202,1986,f,J,Belgium,Israel,0,0.0
203,1987,f,J,Belgium,Israel,6,0.0
204,1988,f,J,Belgium,Israel,10,0.0
205,1989,f,J,Belgium,Israel,0,0.0
206,1990,f,J,Belgium,Israel,0,0.0
207,1991,f,J,Belgium,Israel,8,0.0
208,1992,f,J,Belgium,Israel,0,0.0
209,1993,f,J,Belgium,Israel,0,0.0
210,1995,f,J,Belgium,Israel,4,0.0
211,1998,f,J,Belgium,Israel,10,0.0
212,1999,f,J,Belgium,Israel,3,0.0
213,2000,f,J,Belgium,Israel,0,0.0
214,2002,f,J,Belgium,Israel,2,0.0
215,2003,f,J,Belgium,Israel,0,0.0
216,2004,sf,J,Belgium,Israel,2,0.0
217,2005,f,J,Belgium,Israel,6,0.0
218,2005,sf,J,Belgium,Israel,3,0.0
219,2006,f,J,Belgium,Israel,0,0.0
220,2007,sf,J,Belgium,Israel,0,0.0
221,2008,f,J,Belgium,Israel,5,0.0
222,2008,sf1,J,Belgium,Israel,7,0.0
223,2009,f,J,Belgium,Israel,8,0.0
224,2009,sf1,J,Belgium,Israel,3,0.0
225,2010,f,J,Belgium,Israel,0,0.0
226,2011,sf2,J,Belgium,Israel,2,0.0
227,2012,sf1,J,Belgium,Israel,0,0.0
228,2015,f,J,Belgium,Israel,0,0.0
229,2016,f,J,Belgium,Israel,2,0.0
230,2016,f,T,Belgium,Israel,0,0.0
231,2016,sf2,J,Belgium,Israel,10,0.0
232,2016,sf2,T,Belgium,Israel,1,0.0
233,1975,f,J,Belgium,Italy,6,0.0
234,1976,f,J,Belgium,Italy,0,0.0
235,1977,f,J,Belgium,Italy,0,0.0
236,1978,f,J,Belgium,Italy,1,0.0
237,1979,f,J,Belgium,Italy,0,0.0
238,1980,f,J,Belgium,Italy,10,0.0
239,1983,f,J,Belgium,Italy,0,0.0
240,1984,f,J,Belgium,Italy,0,0.0
241,1985,f,J,Belgium,Italy,2,0.0
242,1987,f,J,Belgium,Italy,5,0.0
243,1988,f,J,Belgium,Italy,0,0.0
244,1989,f,J,Belgium,Italy,0,0.0
245,1990,f,J,Belgium,Italy,8,0.0
246,1991,f,J,Belgium,Italy,0,0.0
247,1992,f,J,Belgium,Italy,0,0.0
248,1993,f,J,Belgium,Italy,0,0.0
249,2011,f,J,Belgium,Italy,6,0.0
250,2012,f,J,Belgium,Italy,0,0.0
251,2013,f,J,Belgium,Italy,6,0.0
252,2014,f,J,Belgium,Italy,0,0.0
253,2015,f,J,Belgium,Italy,8,0.0
254,2016,f,J,Belgium,Italy,10,0.0
255,2016,f,T,Belgium,Italy,0,0.0
256,1975,f,J,Belgium,Luxembourg,0,1.0
257,1976,f,J,Belgium,Luxembourg,6,1.0
258,1977,f,J,Belgium,Luxembourg,0,1.0
259,1978,f,J,Belgium,Luxembourg,3,1.0
260,1979,f,J,Belgium,Luxembourg,0,1.0
261,1980,f,J,Belgium,Luxembourg,8,1.0
262,1981,f,J,Belgium,Luxembourg,0,1.0
263,1982,f,J,Belgium,Luxembourg,8,1.0
264,1983,f,J,Belgium,Luxembourg,8,1.0
265,1984,f,J,Belgium,Luxembourg,0,1.0
266,1985,f,J,Belgium,Luxembourg,0,1.0
267,1986,f,J,Belgium,Luxembourg,10,1.0
268,1987,f,J,Belgium,Luxembourg,0,1.0
269,1988,f,J,Belgium,Luxembourg,8,1.0
270,1989,f,J,Belgium,Luxembourg,0,1.0
271,1990,f,J,Belgium,Luxembourg,0,1.0
272,1991,f,J,Belgium,Luxembourg,2,1.0
273,1992,f,J,Belgium,Luxembourg,0,1.0
274,1993,f,J,Belgium,Luxembourg,0,1.0
