,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,name
331,0.634,0.881,8,-4.256,0,0.0366,0.00181,0.0,0.107,0.922,126.965,audio_features,5thbBlXWqYroVWot4a5LlN,spotify:track:5thbBlXWqYroVWot4a5LlN,https://api.spotify.com/v1/tracks/5thbBlXWqYroVWot4a5LlN,https://api.spotify.com/v1/audio-analysis/5thbBlXWqYroVWot4a5LlN,175667,4,Hero
332,0.43,0.916,4,-2.9,0,0.058,0.0357,0.0,0.173,0.449,75.467,audio_features,3eEmeP2ydpJDtl0tY91t8Y,spotify:track:3eEmeP2ydpJDtl0tY91t8Y,https://api.spotify.com/v1/tracks/3eEmeP2ydpJDtl0tY91t8Y,https://api.spotify.com/v1/audio-analysis/3eEmeP2ydpJDtl0tY91t8Y,184800,4,Deli
333,0.706,0.699,6,-12.515,0,0.0512,0.0501,1.07e-06,0.0692,0.753,127.953,audio_features,5devjcsxeVnwYQbaYJ2Ewx,spotify:track:5devjcsxeVnwYQbaYJ2Ewx,https://api.spotify.com/v1/tracks/5devjcsxeVnwYQbaYJ2Ewx,https://api.spotify.com/v1/audio-analysis/5devjcsxeVnwYQbaYJ2Ewx,178880,4,Shady Lady
334,0.518,0.558,8,-5.988,1,0.0277,0.739,4.54e-06,0.0875,0.572,95.228,audio_features,1SmtEzPZF7FucrJDAYG4xC,spotify:track:1SmtEzPZF7FucrJDAYG4xC,https://api.spotify.com/v1/tracks/1SmtEzPZF7FucrJDAYG4xC,https://api.spotify.com/v1/audio-analysis/1SmtEzPZF7FucrJDAYG4xC,208767,3,Zemren e lame peng
335,0.414,0.604,1,-4.715,1,0.0337,0.0254,0.0,0.117,0.201,144.077,audio_features,0dLiryQzYFGHgjXILOoVqK,spotify:track:0dLiryQzYFGHgjXILOoVqK,https://api.spotify.com/v1/tracks/0dLiryQzYFGHgjXILOoVqK,https://api.spotify.com/v1/audio-analysis/0dLiryQzYFGHgjXILOoVqK,212307,4,Era stupendo
336,0.744,0.949,9,-2.93,1,0.0588,0.273,0.0,0.364,0.8,119.994,audio_features,61tJQtVLTDEt76pxaiJNgB,spotify:track:61tJQtVLTDEt76pxaiJNgB,https://api.spotify.com/v1/tracks/61tJQtVLTDEt76pxaiJNgB,https://api.spotify.com/v1/audio-analysis/61tJQtVLTDEt76pxaiJNgB,222280,4,Have Some Fun
337,0.589,0.855,11,-5.386,0,0.03,0.000161,0.0,0.165,0.714,125.008,audio_features,0sKY3EVQQRxZfY24zDsgJN,spotify:track:0sKY3EVQQRxZfY24zDsgJN,https://api.spotify.com/v1/tracks/0sKY3EVQQRxZfY24zDsgJN,https://api.spotify.com/v1/audio-analysis/0sKY3EVQQRxZfY24zDsgJN,182570,4,Hasta la vista
338,0.668,0.923,5,-5.187,0,0.0534,0.000325,0.0841,0.318,0.829,130.025,audio_features,1YIZKhptvTugpAfWjGzjMY,spotify:track:1YIZKhptvTugpAfWjGzjMY,https://api.spotify.com/v1/tracks/1YIZKhptvTugpAfWjGzjMY,https://api.spotify.com/v1/audio-analysis/1YIZKhptvTugpAfWjGzjMY,182439,4,DJ Take Me Away
339,0.557,0.689,7,-3.31,1,0.0286,0.0864,0.0,0.552,0.246,133.82,audio_features,1KgJruJ8tYrSdYE5qfF9ey,spotify:track:1KgJruJ8tYrSdYE5qfF9ey,https://api.spotify.com/v1/tracks/1KgJruJ8tYrSdYE5qfF9ey,https://api.spotify.com/v1/audio-analysis/1KgJruJ8tYrSdYE5qfF9ey,203840,4,Candlelight Szivveres
340,0.504,0.998,5,-3.116,1,0.149,0.00287,1.64e-06,0.314,0.662,155.079,audio_features,18lnqLdO2KypPDxZJOscIp,spotify:track:18lnqLdO2KypPDxZJOscIp,https://api.spotify.com/v1/tracks/18lnqLdO2KypPDxZJOscIp,https://api.spotify.com/v1/audio-analysis/18lnqLdO2KypPDxZJOscIp,180000,4,Vodka
